candidato_nombre,partido,candidato_porcentaje,candidato_votos,departamento,municipio
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",95.37,2021,Sucre,Caimito
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",4.62,98,Sucre,Caimito
votos no marcados,votos no marcados,,135,Sucre,Caimito
votos nulos,votos nulos,,29,Sucre,Caimito
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",75.97,117,Risaralda,Santuario
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",24.02,37,Risaralda,Santuario
votos no marcados,votos no marcados,,12,Risaralda,Santuario
votos nulos,votos nulos,,6,Risaralda,Santuario
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",79.68,408,Cundinamarca,Villapinzon
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",20.31,104,Cundinamarca,Villapinzon
votos no marcados,votos no marcados,,31,Cundinamarca,Villapinzon
votos nulos,votos nulos,,15,Cundinamarca,Villapinzon
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",92.7,254,Cundinamarca,Pandi
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",7.29,20,Cundinamarca,Pandi
votos no marcados,votos no marcados,,10,Cundinamarca,Pandi
votos nulos,votos nulos,,5,Cundinamarca,Pandi
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",91.26,1129,Caqueta,San Vicente Del Caguan
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",8.73,108,Caqueta,San Vicente Del Caguan
votos no marcados,votos no marcados,,62,Caqueta,San Vicente Del Caguan
votos nulos,votos nulos,,28,Caqueta,San Vicente Del Caguan
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",75.0,39,Antioquia,Caracoli
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",25.0,13,Antioquia,Caracoli
votos no marcados,votos no marcados,,3,Antioquia,Caracoli
votos nulos,votos nulos,,0,Antioquia,Caracoli
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",85.18,46,Antioquia,Pueblorrico
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",14.81,8,Antioquia,Pueblorrico
votos no marcados,votos no marcados,,1,Antioquia,Pueblorrico
votos nulos,votos nulos,,1,Antioquia,Pueblorrico
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",92.76,3206,Cauca,Puerto Tejada
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",7.23,250,Cauca,Puerto Tejada
votos no marcados,votos no marcados,,156,Cauca,Puerto Tejada
votos nulos,votos nulos,,174,Cauca,Puerto Tejada
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",77.96,842,Antioquia,Guarne
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",22.03,238,Antioquia,Guarne
votos no marcados,votos no marcados,,46,Antioquia,Guarne
votos nulos,votos nulos,,33,Antioquia,Guarne
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.7,424,Huila,Tarqui
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.29,54,Huila,Tarqui
votos no marcados,votos no marcados,,28,Huila,Tarqui
votos nulos,votos nulos,,10,Huila,Tarqui
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",79.38,104,Boyaca,Boavita
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",20.61,27,Boyaca,Boavita
votos no marcados,votos no marcados,,3,Boyaca,Boavita
votos nulos,votos nulos,,2,Boyaca,Boavita
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",96.44,2740,Cauca,Caloto
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",3.55,101,Cauca,Caloto
votos no marcados,votos no marcados,,112,Cauca,Caloto
votos nulos,votos nulos,,71,Cauca,Caloto
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",84.42,759,Boyaca,Villa De Leiva
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",15.57,140,Boyaca,Villa De Leiva
votos no marcados,votos no marcados,,12,Boyaca,Villa De Leiva
votos nulos,votos nulos,,12,Boyaca,Villa De Leiva
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",84.98,1002,Bolivar,San Pablo
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",15.01,177,Bolivar,San Pablo
votos no marcados,votos no marcados,,70,Bolivar,San Pablo
votos nulos,votos nulos,,20,Bolivar,San Pablo
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",89.0,1789,Arauca,Saravena
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",10.99,221,Arauca,Saravena
votos no marcados,votos no marcados,,125,Arauca,Saravena
votos nulos,votos nulos,,57,Arauca,Saravena
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",87.97,373,Boyaca,Firavitoba
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",12.02,51,Boyaca,Firavitoba
votos no marcados,votos no marcados,,6,Boyaca,Firavitoba
votos nulos,votos nulos,,5,Boyaca,Firavitoba
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",69.52,73,Antioquia,San Jeronimo
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",30.47,32,Antioquia,San Jeronimo
votos no marcados,votos no marcados,,11,Antioquia,San Jeronimo
votos nulos,votos nulos,,4,Antioquia,San Jeronimo
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",79.58,32747,Santander,Bucaramanga
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",20.41,8398,Santander,Bucaramanga
votos no marcados,votos no marcados,,606,Santander,Bucaramanga
votos nulos,votos nulos,,669,Santander,Bucaramanga
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",50.0,6,Consulados,El Salvador
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",50.0,6,Consulados,El Salvador
votos no marcados,votos no marcados,,0,Consulados,El Salvador
votos nulos,votos nulos,,0,Consulados,El Salvador
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",86.34,354,Norte De San,Sardinata
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",13.65,56,Norte De San,Sardinata
votos no marcados,votos no marcados,,44,Norte De San,Sardinata
votos nulos,votos nulos,,12,Norte De San,Sardinata
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",87.89,1634,Casanare,Aguazul
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",12.1,225,Casanare,Aguazul
votos no marcados,votos no marcados,,66,Casanare,Aguazul
votos nulos,votos nulos,,50,Casanare,Aguazul
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",93.03,3181,Bolivar,Mompos
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",6.96,238,Bolivar,Mompos
votos no marcados,votos no marcados,,205,Bolivar,Mompos
votos nulos,votos nulos,,40,Bolivar,Mompos
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",92.0,3105,La Guajira,Albania
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",8.0,270,La Guajira,Albania
votos no marcados,votos no marcados,,186,La Guajira,Albania
votos nulos,votos nulos,,62,La Guajira,Albania
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",97.08,1867,Cordoba,Tuchin
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",2.91,56,Cordoba,Tuchin
votos no marcados,votos no marcados,,54,Cordoba,Tuchin
votos nulos,votos nulos,,28,Cordoba,Tuchin
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",86.51,77,Boyaca,Jerico
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",13.48,12,Boyaca,Jerico
votos no marcados,votos no marcados,,4,Boyaca,Jerico
votos nulos,votos nulos,,3,Boyaca,Jerico
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",96.21,1194,Nariño,Ricaurte
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",3.78,47,Nariño,Ricaurte
votos no marcados,votos no marcados,,58,Nariño,Ricaurte
votos nulos,votos nulos,,28,Nariño,Ricaurte
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",78.84,41,Norte De San,Labateca
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",21.15,11,Norte De San,Labateca
votos no marcados,votos no marcados,,6,Norte De San,Labateca
votos nulos,votos nulos,,1,Norte De San,Labateca
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",78.82,67,Meta,Mapiripan
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",21.17,18,Meta,Mapiripan
votos no marcados,votos no marcados,,15,Meta,Mapiripan
votos nulos,votos nulos,,10,Meta,Mapiripan
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",96.33,500,Boyaca,Paz De Rio
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",3.66,19,Boyaca,Paz De Rio
votos no marcados,votos no marcados,,4,Boyaca,Paz De Rio
votos nulos,votos nulos,,3,Boyaca,Paz De Rio
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.23,45,Boyaca,San Mateo
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.76,6,Boyaca,San Mateo
votos no marcados,votos no marcados,,0,Boyaca,San Mateo
votos nulos,votos nulos,,1,Boyaca,San Mateo
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.19,46,Santander,San Miguel
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.8,5,Santander,San Miguel
votos no marcados,votos no marcados,,0,Santander,San Miguel
votos nulos,votos nulos,,2,Santander,San Miguel
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",74.35,1316,Antioquia,Caldas
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",25.64,454,Antioquia,Caldas
votos no marcados,votos no marcados,,94,Antioquia,Caldas
votos nulos,votos nulos,,88,Antioquia,Caldas
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.99,1122,Valle,Andalucia
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.0,111,Valle,Andalucia
votos no marcados,votos no marcados,,26,Valle,Andalucia
votos nulos,votos nulos,,33,Valle,Andalucia
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",93.69,788,Cundinamarca,Pasca
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",6.3,53,Cundinamarca,Pasca
votos no marcados,votos no marcados,,20,Cundinamarca,Pasca
votos nulos,votos nulos,,14,Cundinamarca,Pasca
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",83.81,233,Valle,Toro
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",16.18,45,Valle,Toro
votos no marcados,votos no marcados,,19,Valle,Toro
votos nulos,votos nulos,,4,Valle,Toro
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.46,8719,Nariño,Tumaco
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.53,1137,Nariño,Tumaco
votos no marcados,votos no marcados,,934,Nariño,Tumaco
votos nulos,votos nulos,,264,Nariño,Tumaco
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",84.06,1525,Boyaca,Puerto Boyaca
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",15.93,289,Boyaca,Puerto Boyaca
votos no marcados,votos no marcados,,153,Boyaca,Puerto Boyaca
votos nulos,votos nulos,,109,Boyaca,Puerto Boyaca
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",94.35,3059,Cauca,Timbio
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",5.64,183,Cauca,Timbio
votos no marcados,votos no marcados,,134,Cauca,Timbio
votos nulos,votos nulos,,91,Cauca,Timbio
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",59.55,539,Magdalena,El Piñon
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",40.44,366,Magdalena,El Piñon
votos no marcados,votos no marcados,,24,Magdalena,El Piñon
votos nulos,votos nulos,,3,Magdalena,El Piñon
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",68.91,51,Norte De San,Puerto Santander
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",31.08,23,Norte De San,Puerto Santander
votos no marcados,votos no marcados,,8,Norte De San,Puerto Santander
votos nulos,votos nulos,,3,Norte De San,Puerto Santander
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.19,1076,Santander,Cimitarra
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.8,117,Santander,Cimitarra
votos no marcados,votos no marcados,,111,Santander,Cimitarra
votos nulos,votos nulos,,37,Santander,Cimitarra
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",89.83,53,Caldas,La Merced
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",10.16,6,Caldas,La Merced
votos no marcados,votos no marcados,,7,Caldas,La Merced
votos nulos,votos nulos,,0,Caldas,La Merced
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",93.13,95,Cesar,Gonzalez
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",6.86,7,Cesar,Gonzalez
votos no marcados,votos no marcados,,7,Cesar,Gonzalez
votos nulos,votos nulos,,6,Cesar,Gonzalez
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",100.0,5,Consulados,Kenia
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",0.0,0,Consulados,Kenia
votos no marcados,votos no marcados,,0,Consulados,Kenia
votos nulos,votos nulos,,0,Consulados,Kenia
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.06,281,Boyaca,Raquira
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.93,31,Boyaca,Raquira
votos no marcados,votos no marcados,,4,Boyaca,Raquira
votos nulos,votos nulos,,13,Boyaca,Raquira
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",72.72,8,Consulados,Paraguay
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",27.27,3,Consulados,Paraguay
votos no marcados,votos no marcados,,0,Consulados,Paraguay
votos nulos,votos nulos,,0,Consulados,Paraguay
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",89.78,369,Bolivar,Margarita
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",10.21,42,Bolivar,Margarita
votos no marcados,votos no marcados,,17,Bolivar,Margarita
votos nulos,votos nulos,,4,Bolivar,Margarita
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",87.33,131,Boyaca,Caldas
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",12.66,19,Boyaca,Caldas
votos no marcados,votos no marcados,,31,Boyaca,Caldas
votos nulos,votos nulos,,2,Boyaca,Caldas
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.59,1126,Valle,Sevilla
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.4,145,Valle,Sevilla
votos no marcados,votos no marcados,,31,Valle,Sevilla
votos nulos,votos nulos,,31,Valle,Sevilla
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",91.53,2931,Cordoba,Ayapel
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",8.46,271,Cordoba,Ayapel
votos no marcados,votos no marcados,,235,Cordoba,Ayapel
votos nulos,votos nulos,,78,Cordoba,Ayapel
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",87.65,277,Boyaca,Siachoque
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",12.34,39,Boyaca,Siachoque
votos no marcados,votos no marcados,,8,Boyaca,Siachoque
votos nulos,votos nulos,,6,Boyaca,Siachoque
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",87.89,1111,Tolima,Chaparral
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",12.1,153,Tolima,Chaparral
votos no marcados,votos no marcados,,106,Tolima,Chaparral
votos nulos,votos nulos,,39,Tolima,Chaparral
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.53,471,Huila,Timana
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.46,61,Huila,Timana
votos no marcados,votos no marcados,,30,Huila,Timana
votos nulos,votos nulos,,9,Huila,Timana
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",71.97,1469,Norte De San,Villa Del Rosario
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",28.02,572,Norte De San,Villa Del Rosario
votos no marcados,votos no marcados,,103,Norte De San,Villa Del Rosario
votos nulos,votos nulos,,90,Norte De San,Villa Del Rosario
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",100.0,1,Amazonas,Puerto Alegria
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",0.0,0,Amazonas,Puerto Alegria
votos no marcados,votos no marcados,,0,Amazonas,Puerto Alegria
votos nulos,votos nulos,,0,Amazonas,Puerto Alegria
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",86.03,425,Bolivar,Morales
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",13.96,69,Bolivar,Morales
votos no marcados,votos no marcados,,30,Bolivar,Morales
votos nulos,votos nulos,,9,Bolivar,Morales
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",92.93,815,Choco,Carmen Del Darien
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",7.06,62,Choco,Carmen Del Darien
votos no marcados,votos no marcados,,67,Choco,Carmen Del Darien
votos nulos,votos nulos,,17,Choco,Carmen Del Darien
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",91.11,359,Valle,Vijes
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",8.88,35,Valle,Vijes
votos no marcados,votos no marcados,,14,Valle,Vijes
votos nulos,votos nulos,,7,Valle,Vijes
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",84.98,481,Bolivar,El Peñon
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",15.01,85,Bolivar,El Peñon
votos no marcados,votos no marcados,,31,Bolivar,El Peñon
votos nulos,votos nulos,,5,Bolivar,El Peñon
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",76.28,9155,La Guajira,Maicao
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",23.71,2846,La Guajira,Maicao
votos no marcados,votos no marcados,,687,La Guajira,Maicao
votos nulos,votos nulos,,191,La Guajira,Maicao
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",72.72,16,Antioquia,Olaya
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",27.27,6,Antioquia,Olaya
votos no marcados,votos no marcados,,0,Antioquia,Olaya
votos nulos,votos nulos,,0,Antioquia,Olaya
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.81,127,Boyaca,Tipacoque
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.18,16,Boyaca,Tipacoque
votos no marcados,votos no marcados,,9,Boyaca,Tipacoque
votos nulos,votos nulos,,2,Boyaca,Tipacoque
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",94.48,600,Nariño,Sapuyes
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",5.51,35,Nariño,Sapuyes
votos no marcados,votos no marcados,,17,Nariño,Sapuyes
votos nulos,votos nulos,,15,Nariño,Sapuyes
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",92.3,276,Caqueta,Belen De Los Andaquies
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",7.69,23,Caqueta,Belen De Los Andaquies
votos no marcados,votos no marcados,,10,Caqueta,Belen De Los Andaquies
votos nulos,votos nulos,,9,Caqueta,Belen De Los Andaquies
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",93.88,34721,Cauca,Popayan
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",6.11,2261,Cauca,Popayan
votos no marcados,votos no marcados,,609,Cauca,Popayan
votos nulos,votos nulos,,638,Cauca,Popayan
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",97.42,833,Cauca,Florencia
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",2.57,22,Cauca,Florencia
votos no marcados,votos no marcados,,31,Cauca,Florencia
votos nulos,votos nulos,,10,Cauca,Florencia
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",83.03,93,Boyaca,Paez
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",16.96,19,Boyaca,Paez
votos no marcados,votos no marcados,,13,Boyaca,Paez
votos nulos,votos nulos,,7,Boyaca,Paez
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",92.1,35,Boyaca,El Espino
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",7.89,3,Boyaca,El Espino
votos no marcados,votos no marcados,,3,Boyaca,El Espino
votos nulos,votos nulos,,0,Boyaca,El Espino
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",87.79,259,Boyaca,Oicata
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",12.2,36,Boyaca,Oicata
votos no marcados,votos no marcados,,0,Boyaca,Oicata
votos nulos,votos nulos,,4,Boyaca,Oicata
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.58,5667,Bolivar,Arjona
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.41,730,Bolivar,Arjona
votos no marcados,votos no marcados,,354,Bolivar,Arjona
votos nulos,votos nulos,,139,Bolivar,Arjona
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.05,376,Antioquia,Zaragoza
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.94,51,Antioquia,Zaragoza
votos no marcados,votos no marcados,,42,Antioquia,Zaragoza
votos nulos,votos nulos,,8,Antioquia,Zaragoza
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",73.78,895,Magdalena,Pedraza
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",26.21,318,Magdalena,Pedraza
votos no marcados,votos no marcados,,42,Magdalena,Pedraza
votos nulos,votos nulos,,4,Magdalena,Pedraza
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",92.28,299,Boyaca,Arcabuco
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",7.71,25,Boyaca,Arcabuco
votos no marcados,votos no marcados,,8,Boyaca,Arcabuco
votos nulos,votos nulos,,8,Boyaca,Arcabuco
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",89.43,491,Meta,Vista Hermosa
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",10.56,58,Meta,Vista Hermosa
votos no marcados,votos no marcados,,63,Meta,Vista Hermosa
votos nulos,votos nulos,,18,Meta,Vista Hermosa
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",83.96,89,Antioquia,Santo Domingo
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",16.03,17,Antioquia,Santo Domingo
votos no marcados,votos no marcados,,6,Antioquia,Santo Domingo
votos nulos,votos nulos,,6,Antioquia,Santo Domingo
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",95.54,6219,Sucre,Los Palmitos
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",4.45,290,Sucre,Los Palmitos
votos no marcados,votos no marcados,,163,Sucre,Los Palmitos
votos nulos,votos nulos,,68,Sucre,Los Palmitos
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",86.2,50,Antioquia,Tarso
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",13.79,8,Antioquia,Tarso
votos no marcados,votos no marcados,,10,Antioquia,Tarso
votos nulos,votos nulos,,1,Antioquia,Tarso
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.68,224,Santander,San Andres
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.31,23,Santander,San Andres
votos no marcados,votos no marcados,,10,Santander,San Andres
votos nulos,votos nulos,,4,Santander,San Andres
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",98.42,3996,Nariño,Taminango
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",1.57,64,Nariño,Taminango
votos no marcados,votos no marcados,,81,Nariño,Taminango
votos nulos,votos nulos,,37,Nariño,Taminango
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.93,722,Atlantico,Santa Lucia
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.06,72,Atlantico,Santa Lucia
votos no marcados,votos no marcados,,34,Atlantico,Santa Lucia
votos nulos,votos nulos,,46,Atlantico,Santa Lucia
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.57,375,Cundinamarca,San Bernardo
